月描述,乘用销售区域,乘用销售分部,客户编码,客户名称,产品大类,花纹,轮辋（乘用）,车型,规格,品牌（中文）,销售订单数量
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort Winter20,14,轿车,165/60R14,佳通,8
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort Winter20,14,轿车,185/70R14,佳通,2
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort Winter20,16,轿车,205/55R16,佳通,60
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort Winter50SUV,16,SUV,215/65R16,佳通,1
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiComfort Winter50SUV,18,SUV,225/55R18,佳通,8
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiControl Winter10,17,轿车,215/50R17,佳通,1
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiTaxi 900,14,轿车,165/70R14,佳通,20
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiTaxi 900,14,轿车,175/70R14,佳通,50
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiUtility Winter 658,16,LTR,7.00R16 LT,佳通,1
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiWingro,14,轿车,175/65R14,佳通,1
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiWinter 230,15,轿车,205/70R15,佳通,2
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,GitiWinterControl SUV890+,20,SUV,245/45R20,佳通,17
2020-12,东北区,吉林,CKH0434197,四平市溢发商贸有限公司,101半钢外胎,SAVERO HT PLUS,16,4×4,235/70R16,佳通,20
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,Giti4×4 AT100,15,4×4,LT215/75R15,佳通,2
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,Giti4×4 Winter70,17,4×4,265/65R17,佳通,1
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiComfort 228,16,轿车,205/55R16,佳通,50
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiComfort F50,17,SUV,225/65R17,佳通,10
